Time;Object;Staytime
18/10/2023 8:33:39;MAQUINA;0,834459
18/10/2023 8:34:06;MAQUINA;3,006788
18/10/2023 8:34:10;MAQUINA2;5,000000
18/10/2023 8:34:10;MAQUINA;0,174440
18/10/2023 8:34:27;MAQUINA;1,560518
18/10/2023 8:34:45;MAQUINA;2,493268
18/10/2023 8:34:59;MAQUINA;4,658356
18/10/2023 8:35:12;MAQUINA;3,574061
18/10/2023 8:35:18;MAQUINA;3,264043
18/10/2023 8:35:36;MAQUINA;6,438058
18/10/2023 8:35:45;MAQUINA;0,879163
18/10/2023 8:35:48;MAQUINA;0,124618
18/10/2023 8:36:23;MAQUINA;2,575029
18/10/2023 8:36:44;MAQUINA;1,163347
18/10/2023 8:36:45;MAQUINA;1,218480
18/10/2023 8:36:51;MAQUINA;2,727502
18/10/2023 8:36:58;MAQUINA;0,030126
18/10/2023 8:37:39;MAQUINA;2,057366
18/10/2023 8:37:48;MAQUINA;7,720027
18/10/2023 8:37:58;MAQUINA;4,505865
18/10/2023 8:38:03;MAQUINA;0,738087
18/10/2023 8:38:16;MAQUINA;2,177350
18/10/2023 8:38:40;MAQUINA;2,343462
18/10/2023 8:38:50;MAQUINA;4,178529
18/10/2023 8:38:51;MAQUINA2;4,000000
18/10/2023 8:39:00;MAQUINA;1,129336
18/10/2023 8:39:12;MAQUINA2;2,000000
18/10/2023 8:39:13;MAQUINA;4,816966
18/10/2023 8:39:14;MAQUINA2;2,000000
18/10/2023 8:39:24;MAQUINA;0,909963
18/10/2023 8:39:44;MAQUINA;2,427432
18/10/2023 8:40:17;MAQUINA;3,718573
18/10/2023 8:40:38;MAQUINA;3,093694
18/10/2023 8:41:00;MAQUINA;7,027637
18/10/2023 8:41:23;MAQUINA;1,358544
18/10/2023 8:41:28;MAQUINA2;5,000000
18/10/2023 8:41:40;MAQUINA;7,930820
18/10/2023 8:41:48;MAQUINA;0,123661
18/10/2023 8:42:10;MAQUINA;5,155927
18/10/2023 8:42:12;MAQUINA2;4,000000
18/10/2023 8:42:17;MAQUINA;0,219150
18/10/2023 8:42:18;MAQUINA;0,136751
18/10/2023 8:42:21;MAQUINA;0,592049
18/10/2023 8:42:49;MAQUINA2;2,000000
18/10/2023 8:42:50;MAQUINA;5,592773
18/10/2023 8:43:04;MAQUINA;5,953531
18/10/2023 8:43:08;MAQUINA2;5,000000
18/10/2023 8:43:12;MAQUINA;8,369936
18/10/2023 8:43:16;MAQUINA;2,075947
18/10/2023 8:43:20;MAQUINA;2,293057
18/10/2023 8:43:26;MAQUINA;3,039462
18/10/2023 8:43:56;MAQUINA;1,085822
18/10/2023 8:43:56;MAQUINA2;1,000000
18/10/2023 8:44:02;MAQUINA;1,157014
18/10/2023 8:44:06;MAQUINA;0,486093
18/10/2023 8:44:16;MAQUINA;1,370939
18/10/2023 8:44:20;MAQUINA2;3,000000
18/10/2023 8:44:21;MAQUINA;4,787216
18/10/2023 8:44:22;MAQUINA2;2,000000
18/10/2023 8:44:26;MAQUINA;4,388388
18/10/2023 8:44:56;MAQUINA2;2,000000
18/10/2023 8:44:58;MAQUINA;5,197378
18/10/2023 8:45:02;MAQUINA;1,344680
18/10/2023 8:45:11;MAQUINA;0,993763
18/10/2023 8:45:47;MAQUINA;2,820077
18/10/2023 8:46:04;MAQUINA;1,482166
18/10/2023 8:46:05;MAQUINA2;1,000000
18/10/2023 8:46:08;MAQUINA;2,227468
18/10/2023 8:46:17;MAQUINA;2,579557
18/10/2023 8:46:31;MAQUINA;0,836779
18/10/2023 8:46:37;MAQUINA;1,572020
18/10/2023 8:46:54;MAQUINA;1,166485
18/10/2023 8:47:03;MAQUINA;7,545879
18/10/2023 8:47:20;MAQUINA;3,169769
18/10/2023 8:47:27;MAQUINA;0,190924
18/10/2023 8:47:35;MAQUINA;4,343040
18/10/2023 8:47:39;MAQUINA;1,310262
18/10/2023 8:47:41;MAQUINA;1,680993
18/10/2023 8:47:46;MAQUINA;0,628850
18/10/2023 8:48:20;MAQUINA;0,004694
18/10/2023 8:48:29;MAQUINA2;4,000000
18/10/2023 8:48:30;MAQUINA;8,347811
18/10/2023 8:48:52;MAQUINA;0,670047
18/10/2023 8:49:07;MAQUINA;1,231851
18/10/2023 8:49:26;MAQUINA;1,384591
18/10/2023 8:49:40;MAQUINA;1,670992
18/10/2023 8:49:51;MAQUINA;3,633632
18/10/2023 8:49:57;MAQUINA;1,876465
18/10/2023 8:50:00;MAQUINA2;4,000000
18/10/2023 8:50:12;MAQUINA;0,659423
18/10/2023 8:50:26;MAQUINA;0,149136
18/10/2023 8:50:44;MAQUINA2;2,000000
18/10/2023 8:50:47;MAQUINA;5,955759
18/10/2023 8:50:49;MAQUINA2;4,000000
18/10/2023 8:51:37;MAQUINA;3,414979
18/10/2023 8:51:59;MAQUINA;3,228192
18/10/2023 8:52:06;MAQUINA;5,559952
18/10/2023 8:52:11;MAQUINA;0,190705
18/10/2023 8:52:52;MAQUINA;1,810123
18/10/2023 8:52:59;MAQUINA;1,301857
18/10/2023 8:53:21;MAQUINA;0,771051
18/10/2023 8:53:41;MAQUINA;0,570591
18/10/2023 8:53:46;MAQUINA;1,649060
18/10/2023 8:53:59;MAQUINA;1,058490
18/10/2023 8:54:10;MAQUINA;0,015754
18/10/2023 8:54:18;MAQUINA;1,329540
